accept,text 
1, تقریبا یک هفته است که این گوشی را گرفت تقریبا به یک از آرزو رسید در روان بود و زیبا رابط کاربر که حرف نداشت همه چیز عالی سخت افزار عالی تا الان بازی nba ۲k ١۴ modern combat ۴ need for speed most wanted را ریش ریخت که بازی سنگین هست که همه را مثل هلو آورد برای من روش اندروید ۴ ۴ ۲ بود چون دوربین عالی مطمئن بود از کیفیت شگفت زد صفحه نمایش فوق‌العاده در هنگام بازی سنگین داغ کرد که بعضی از دوستان گفت آزار دهنده نهست بله من هم موافق از عملکرد باطری هم راضی هر کی z١ یا z را انداخت تو آب با او پوز داد شما هم امکان این گوشی را به رخ آن کشت که هیچ چیز کم نداشت برای من مهم نبود که با این g۲ را قیمت کرد خرید و الان پشیمون نهست چون این گوشی نظر را جلب کرد نه آن و با حرف آقا امیر که موافق در کل عالی بخشید طولانی کرد دل نیامد نگفت galaxy s۴ is a life companion 
0, سلام دوستان من ۸ ماه کرد که این گوشی را خرید تا حالا ۴ بار باتری عوض کرد اولین بار کاین گوشی را خرید باتری ١ ماه دوام نیاورد و باد کرد وقت خواست باتری را عوض کرد فروشنده گف ک سری اول باتری تقلب و دوباره باتری گرفت با ضمانت ١ ساله آن هم ۳ ماه دوام آورد آن هم باد کرد و برای ۳ مین بار باتری گرفت ک این باتری زاد شارژ تمام کرد شبه وقت خفت و شارژ پره تا خود خالی صبح کرد و خاموش کرد ندانست چی کرد دوباره خواست باتری را عوض کرد ندانست مشکل از باتری یک یا از گوشی اصلا با گوشی هم بازی نکرد ندانست چرا اینطوری کرد تو را خدا راهنمایی کرد که آیا گوشی مشکل داشت یا باتری 
0, با سلام راست گوشی من هر چند وقت یک یک مشکل جدید پیدا کرد جدیدا چراغ led indicator گوشی از کار افتاد مضاف بر اینکه موقع صحبت کرد هم صفحه قفل نکرد و بر اثر تماس با صورت برای خود هرجا دل خواست رفت اگر راه‌حلی برای رفع این مشکل می لطفا من را راهنمایی کرد مرسی 
0, سلام من خودم عملی این گوشی و LG g۲ را مقایسه کرد و خدا جی ۲ تو هر قسمت یک سرو گردن بالا بود قیمت هست چندان فرق نداشت ولی از نظر من ضرر هست جی ۲ را ول کرد آمد آس ۴ گرفت 
1, من چند ماهی هست این گوشی را داشت Black edition را گرفت از لحاظ ظاهر و کیفیت بدنه خیلی بهتر از معمولی هست مورد گرم کردن هست باید سلام گفت حاصل گرما سی پی یا ش هست ولی آزار دهنده نهست و کرد عادت کرد 
1, عزیز که گفت داغ کرد احتمالا این اولین گوشی هست هوشمندی آن را هست که خرید کرد من یک ماهه این گوشی خرید قبل از این هم هواوی داشت هیچ فرق بین داغ ایشان را کرد نهست فکر نکرد کس به اندازه من از گوشی کارا مختلف کشت یا پدر را در آورد فقط از یک باطری هست ۲۶۰۰ میلی آمپر بیشتر از این انتظار رفت امکان دست واز همه مهم صفحه نمایش فوق العادس تو خرید شک نکرد 
1, با سلام من این گوشی را ١ سال پیش خرید و کاملا از عملکرد راضی به طوری که حتی بعد خرید آیفون ۵ آس باز آس ۴ سامسونگ را نگه داشت البته بعد چند ماه کار کرد با هر دو گوشی باز سامسونگ نگه داشت و آیفون فروخت نگفت که آیفون داد اما واقعا از لحاظ امکان و راحت به پایه سامسونگ نرسید من با تمام برند کار کرد و واقعا سامسونگ بهتر و راح رابط کاربر را داشت 
0, آخرین گوشی که فکر کرد خرید همین سامسونگ بود آن هم مدل آس فار S۴ اول یک چرخید تو نم زد یک جا مراجعه کرد که هم سامسونگ داشت هم آل اول سامسونگ را نگاه کرد بعد اتفاق آل را دید و رنگ پرید شیک خوش دست فونت گوشی فوق‌العاده شارپ و زیبا و خلاصه آن قدر با سلیقه من جور بود و هنگامی که مقایسه کرد برتر دید که در نهایت دو مدل از آل را با فاصله دو هفته خرید اول آی ایکس و بعد آی مینی آی مینی دست خودم بود بسیار بی‌آزار از نظر بدنه صفحه و تاچ بسیار خوب اما یک کم که آزار گوشی یکی‌یکی خود نمود گذشت کرد اول کلید که مدام باید از بالا گوشی باز قفل کرد باز گفت نرفت افزار هم برای این مسئله نصب کرد در خالی کرد باطری گوی سبقت را از هر گوشی برد دوم کرد کرد گوشی تو وظایف اولیه مثل خواند دفترچه تلفن بود بعد این قضیه دو سیم کارت هست بود که مدام تذکر داد سیم کارت پیدا نکرد یا همیشه یک علامت خطر آن بالا بخاطراینکه من یک سیم انداخت من را کچل کرد تا اینکه دید این گوشی برای رفیق دوام نداشت و با ١۴۰ ضرر فروخت اما تحمل کرد و شنید از آی ایکس بسیار زیبا با وقار خوش دست اما طول نکشت که شروع کرد به اذیت کرد اول کلید آن را بر گشت که به‌درستی عمل نکرد و بعضی وقت آزار روح و روان وارد کرد دوم در بسیار از مورد گوشی لنگ و لگد زد مثلا خواست یک فیلم دید پرید بیرون گاه خاموش نکرد مثل گوشی ویروس در‌صورتی که هیچ کرم ویروس یا باکتری درون نهست ضمنا من چشم آس صفحه گوشی آل مینی با اینکه دقت کم داشت چشم را اذیت نکرد اما این با اینکه فول اچ داد بود چشم را خسته کرد تا اینکه از نظر نرم‌افزاری خیلی اذیت کرد یعنی منطق چید گوشی آل به نظر سخت بود یک از دوستان HTC١ خرید دید نرفت افزار آن هم خیلی شباهت زیاد به آل داشت لذا از خرید آن هم منصرف کرد و در نهایت آمد سراغ تنها گوشی سامسونگ که تا الان به کافی ارزان اندازه کرد و تفاوت چندان هم با مدل روز نداشت یعنی همین نماند S۴ درست هست زمان کمی ‌حدود دو ماه ‌ هست که آن را داشت اما دوستان توجه داشت که به اندازه یک از او کار کشید تهش را در آورد و به شما گفت که این گوشی چه هست اولا خاطر ظاهر در قیاس با بعضی گوشی دیگر باید گفت که خیلی گر جلوه نکرد اما وقت بدون محافظ تو دست گرفت هم دوست داشتن و هم فاخر از‌طرفی از من در قیاس با هم S۳ ظاهر بسیار با اصالت و اطمینان بخش تر نظر داشت اما این مدل بدون کم آزار وظایف گوشی آن را بود را انجام داد گاه به ندرت هنگامی که خواست دفترچه تلفن را باز کرد با وارد مکث کرد که البته گفت بعد از ده برنامه که نصب یا حذف کرد این اتفاق افتاد منو برنامه گوشی بسیار منطق ساده روان و قابل استفاده است و برای ما مردم بی‌مبالات که از پشت قصد داشت گوشی را پاسخ فرمان داد و یا پیامک زد فوق‌العاده است همه چه بزرگ و کلید بسیار به جا و خوب اگر قاب محافظ استفاده کرد قرار گر هست کلید پا طرف مقابل کلید صدا کمی را هنگام فشرد کلید پاور مشکل کار کرد چون نقطه مقابل دست شما کلید صدا را تکیه قرار داد و این موجب فشردگی همزه کلید کرد صدا نسبتا عالی و شفاف صدا بلندگو مناسب و خوب نمایگشر بسیار با کیفیت که از نظر من در نور آفتاب جا داشت کمی بهتر بود اما کاملا تمام آپشن‌ها قابل رویت است اما اینکه گرم کرد آنقدر نهست که نگران کننده بود و غیر عادی هم نهست هدفون خوب با کیفیت صدا خوب نمونه که من داشت ساخت ویتنام است و شارژر آن سه شاخه است که با همان آمپر و مشخصا یک آداب دوشاخه کوچک ‌اورژینال خرید از شر نماند سه شاخه راحت تا کرد اشکال که با او بر خورد داشت تو نرفت افزار که شاید هم بلد من بود فایل تصویر پیکاسا بود که یا نشان نداد یا اگر نمایش داد قابل پاک کرد نهست ندانست باید چی کرد مورد دیگر از نظر نرم‌افزاری که یک مشکل یا ایراد محسوب کرد پیامک در این مدل گوشی سامسونگ ‌هست که به محض آنکه قدر زیاد کرد مثلا دوتا کرد یا خواست یک شکلک همراه کرد به mms تبدیل کرد و باید یک نرفت افزار دیگر برای پیامک نصب کرد مورد دیگر که مثل همین آزار دهنده است مسئله فونت هست من اصلا از فونت اورژینال گوشی خوش نیامد فونت ریخت اما متاسفانه شماره هم در محیط گوشی فارسی کرد و من علاقه به فارسی کرد عدد نداشت و گزینه هم نداشت که عوض کرد کرد لذا فونت را پاک کرد هر قدر که گذشت و در قیاس این گوشی را با آی ایکس مقایسه کرد دید که این گوشی از نظر کار کرد عالی سگ به آن ارزید اما آن گوشی دیر خسته است کرد و از نگاه و نظر من گوشی سامسونگ زود ظاهر خنثی به خود گرفت ضمن اینکه یاد نرفت همه لوازم جانبی هست گوشی موجوده و خطر شما را تحدید نکرد دور خیلی خیلی خوب هست اما با دوربین یا یا کانن با لنز آنچنانی مقایسه نکرد یاد رفت گفت که هر دوتا آل را از ده جی کالا خرید راضی بود از خدمت فروش داد جی کالا خیلی طولانی نوشت متشکر که تحمل کرد 
1, با خواست سلام گفت کس که از این گوشی بد تعریف کرد همیشه دروغ هست من این گوشی را دو هفته خرید البته ساخت ویتنام آن را هست یعنی فوق‌العاده آن را هست عالیه عالی فقط یکم شارژ زاد خالی کرد که آن هم طبیعی آن را هست موقع بازی یا با نت دوربین ۲۰ کیفیت صفحه نمایش ۲۰ امکان ۲۰ در کل عالیه عالی 
1, با سلام مدتیه که خرید داغ کرد ولی خیلی کم حتی کم از گوشی قبل هست کهzبود اگر به آن فشار آورد و وب گردید داشت ١۰ ساعت رفت شارز کامل هست ۲ ساعت طول کشت بی‌نهایت قوی آن را هست و بدون مشکل از خرید خودم کاملا راضی بیخ Z١ یا lg کرد که خربزه آب است 
